Доп. объявление группы	Тип объявления	Места показа	Мобильное объявление	ID группы	Название группы	Номер группы	Тип кампании	ID кампании (локальный)	ID кампании (серверный)	Название кампании	Валюта	ID фразы	Фраза (с минус-словами)	ID объявления	Заголовок 1	Заголовок 2	Текст	Ссылка	Отображаемая ссылка	Организация Яндекс.Справочника	Турбо-страница	Регион	Автоставка	Ставка	Ставка в сетях	Статус объявления	Статус фразы	Заголовки быстрых ссылок	Описания быстрых ссылок	Адреса быстрых ссылок	Параметр 1	Параметр 2	Метки	Изображение	Креатив	Статус модерации креатива	Уточнения	Минус-фразы на группу	Минус-фразы на кампанию	Возрастные ограничения	Ссылка на приложение в магазине	Тип устройства	Тип связи	Версия ОС	Трекинговая ссылка	Иконка	Рейтинг	Количество оценок	Цена
 -	Текстово-графическое	search,context	 -		Золотое Кольцо Общие	1	Текстово-графические объявления			Золотое Кольцо | Промо -5%	RUB		золотое кольцо туры		Туры по Золотому Кольцу -5%	VIP-комфорт и личный гид	Индивидуальные туры по древним городам России. Mercedes S-Class, отели 5★, авторские маршруты. Суздаль, Владимир, Ярославль. Бронируйте со скидкой!	https://goldenring.vfs.travel/promo?utm_source=yandex&utm_medium=cpc&utm_campaign=golden_ring_promo&utm_term={keyword}	promo		Москва	 -	120								-бесплатно -дешево -работа -вакансии -карта														
 -	Текстово-графическое	search,context	 -		Золотое Кольцо Общие	1	Текстово-графические объявления			Золотое Кольцо | Промо -5%	RUB		туры по золотому кольцу		Туры по Золотому Кольцу -5%	VIP-комфорт и личный гид	Индивидуальные туры по древним городам России. Mercedes S-Class, отели 5★, авторские маршруты. Суздаль, Владимир, Ярославль. Бронируйте со скидкой!	https://goldenring.vfs.travel/promo?utm_source=yandex&utm_medium=cpc&utm_campaign=golden_ring_promo&utm_term={keyword}	promo		Москва	 -	120								-бесплатно -дешево -работа -вакансии -карта														
 -	Текстово-графическое	search,context	 -		Золотое Кольцо Общие	1	Текстово-графические объявления			Золотое Кольцо | Промо -5%	RUB		экскурсии золотое кольцо		Экскурсии Золотое Кольцо -5%	Премиум туры от 39 900₽	Эксклюзивные туры по древним городам с комфортом премиум-класса. Проживание 5★, трансферы, личный гид. Владимир, Суздаль, Ростов Великий.	https://goldenring.vfs.travel/promo?utm_source=yandex&utm_medium=cpc&utm_campaign=golden_ring_promo&utm_term={keyword}	promo		Москва	 -	110								-бесплатно -дешево -работа -вакансии -карта														
 -	Текстово-графическое	search,context	 -		Золотое Кольцо Общие	1	Текстово-графические объявления			Золотое Кольцо | Промо -5%	RUB		тур золотое кольцо из москвы		Золотое Кольцо 2025 — Скидка 5%	Премиум туры от 39 900₽	Эксклюзивные туры по древним городам с комфортом премиум-класса. Проживание 5★, трансферы, личный гид. Владимир, Суздаль, Ростов Великий.	https://goldenring.vfs.travel/promo?utm_source=yandex&utm_medium=cpc&utm_campaign=golden_ring_promo&utm_term={keyword}	promo		Москва	 -	140								-бесплатно -дешево -работа -вакансии -карта														
 -	Текстово-графическое	search,context	 -		Золотое Кольцо Общие	1	Текстово-графические объявления			Золотое Кольцо | Промо -5%	RUB		поездка по золотому кольцу		Поездка по Золотому Кольцу -5%	Осталось 3 места!	Индивидуальные туры премиум-класса. Личный гид-историк, авторский маршрут, максимальный комфорт. Суздаль, Владимир, Ярославль. Забронируйте сейчас!	https://goldenring.vfs.travel/promo?utm_source=yandex&utm_medium=cpc&utm_campaign=golden_ring_promo&utm_term={keyword}	promo		Москва	 -	115								-бесплатно -дешево -работа -вакансии -карта														
 -	Текстово-графическое	search,context	 -		VIP и Премиум	2	Текстово-графические объявления			Золотое Кольцо | Промо -5%	RUB		vip туры золотое кольцо		VIP-туры Золотое Кольцо -5%	Mercedes S-Class и отели 5★	Индивидуальные туры премиум-класса. Личный гид-историк, авторский маршрут, максимальный комфорт. Суздаль, Владимир, Ярославль.	https://goldenring.vfs.travel/promo?utm_source=yandex&utm_medium=cpc&utm_campaign=golden_ring_vip_promo&utm_term={keyword}	promo		Москва	 -	200								-бесплатно -дешево -работа -вакансии														
 -	Текстово-графическое	search,context	 -		VIP и Премиум	2	Текстово-графические объявления			Золотое Кольцо | Промо -5%	RUB		индивидуальные туры золотое кольцо		VIP-туры Золотое Кольцо -5%	Mercedes S-Class и отели 5★	Индивидуальные туры премиум-класса. Личный гид-историк, авторский маршрут, максимальный комфорт. Суздаль, Владимир, Ярославль.	https://goldenring.vfs.travel/promo?utm_source=yandex&utm_medium=cpc&utm_campaign=golden_ring_vip_promo&utm_term={keyword}	promo		Москва	 -	180								-бесплатно -дешево -работа -вакансии														
 -	Текстово-графическое	search,context	 -		VIP и Премиум	2	Текстово-графические объявления			Золотое Кольцо | Промо -5%	RUB		премиум туры золотое кольцо		Премиум туры Золотое Кольцо	Скидка 5% только сегодня	Путешествие премиум-класса по древним городам России. Комфортабельный транспорт, лучшие отели, персональный сервис. От 39 900₽.	https://goldenring.vfs.travel/promo?utm_source=yandex&utm_medium=cpc&utm_campaign=golden_ring_vip_promo&utm_term={keyword}	promo		Москва	 -	190								-бесплатно -дешево -работа -вакансии														
 -	Текстово-графическое	search,context	 -		Города маршрута	3	Текстово-графические объявления			Золотое Кольцо | Промо -5%	RUB		туры в суздаль		Туры в Суздаль и Владимир -5%	Золотое Кольцо от 39 900₽	Посетите древние города Золотого Кольца с комфортом премиум-класса. Индивидуальные туры, личный гид, отели 5★. Скидка 5%!	https://goldenring.vfs.travel/promo?utm_source=yandex&utm_medium=cpc&utm_campaign=golden_ring_cities_promo&utm_term={keyword}	promo		Москва	 -	140								-бесплатно -дешево -работа -вакансии														
 -	Текстово-графическое	search,context	 -		Города маршрута	3	Текстово-графические объявления			Золотое Кольцо | Промо -5%	RUB		туры в ярославль		Туры в Ярославль -5%	Золотое Кольцо от 39 900₽	Посетите древние города Золотого Кольца с комфортом премиум-класса. Индивидуальные туры, личный гид, отели 5★. Скидка 5%!	https://goldenring.vfs.travel/promo?utm_source=yandex&utm_medium=cpc&utm_campaign=golden_ring_cities_promo&utm_term={keyword}	promo		Москва	 -	130								-бесплатно -дешево -работа -вакансии														
